; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161975,"CurrentTimeLocal","Tue Sep 15 11:26:15 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.003501,9.018683,8.584988,0.280524,0.311628,0.188899,0.230056,0.149753,18.768473,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.003509,9.026167,8.608875,0.288001,0.315532,0.189194,0.228269,0.149067,18.809034,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.003529,9.010012,8.619843,0.279087,0.29971,0.17388,0.233171,0.150114,18.76972,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.0035,9.019792,8.648619,0.282988,0.308768,0.175125,0.234086,0.150788,18.824073,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.003493,9.013438,8.656944,0.285626,0.307856,0.174819,0.236772,0.14979,18.82921,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.003508,9.017089,8.676776,0.286568,0.311935,0.17697,0.231575,0.157534,18.86246,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.0035,9.013631,8.66152,0.28614,0.31302,0.173315,0.22927,0.159377,18.840193,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.008911,12.91391,12.091004,1.096843,0.386679,0.250028,0.327886,0.373665,27.449454,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.010988,12.964425,12.258347,0.840295,0.351513,0.219074,0.333239,0.187021,27.165323,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.003479,12.624449,12.345262,0.368894,0.359448,0.217849,0.327207,0.179678,26.426724,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.003446,12.427173,12.220364,0.374706,0.349855,0.217805,0.333731,0.179394,26.106854,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.003419,12.444938,12.350165,0.368572,0.367222,0.232217,0.317556,0.181471,26.265956,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.003441,12.423983,12.329831,0.376336,0.34763,0.218557,0.328438,0.179913,26.20852,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.003383,12.443803,12.334807,0.364822,0.366571,0.218631,0.310558,0.180317,26.223319,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.003405,12.51007,12.361415,0.375246,0.347353,0.217979,0.315401,0.179388,26.310748,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.003377,12.434698,12.333772,0.365616,0.350988,0.218173,0.317048,0.179954,26.204044,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.003497,12.42896,12.237709,0.379665,0.354143,0.21707,0.309413,0.189684,26.12066,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.003363,12.429974,12.497183,0.372466,0.398285,0.217095,0.316828,0.182432,26.418077,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.003453,12.43117,12.249099,0.374924,0.353351,0.216445,0.3198,0.179238,26.127918,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.003444,12.427854,12.395207,0.366675,0.349235,0.234334,0.312899,0.180372,26.270437,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.003457,12.437106,12.270524,0.378788,0.34983,0.217588,0.307428,0.189249,26.154411,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.003444,12.432508,12.363986,0.369945,0.350898,0.233041,0.310096,0.177655,26.241965,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.003462,12.457639,12.29117,0.367266,0.340169,0.217933,0.307597,0.188903,26.174652,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.003527,12.429764,12.306736,0.365727,0.356229,0.217834,0.313854,0.179312,26.173366,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.003432,12.480657,12.322795,0.367645,0.361532,0.219254,0.301557,0.180311,26.237604,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.00342,12.429916,12.309122,0.373394,0.348126,0.217272,0.311977,0.18263,26.17635,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.00347,12.442203,12.330107,0.363672,0.36828,0.217666,0.301351,0.180727,26.207941,2612288,0,2593080,1.2505218701e-16,0
