; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.002083,1.508494,0.780559,0.001166,0.001542,0.001167,0.000875,0.004416,2.310219,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.001375,1.440913,1.101341,0.0015,0.002417,0.001208,0.001042,0.00475,2.565878,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.001667,1.471204,0.777434,0.001,0.001583,0.001208,0.000833,0.004375,2.269346,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.001166,1.445622,0.736477,0.001125,0.001791,0.001209,0.000834,0.004,2.201014,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.001625,1.397957,0.770809,0.001167,0.001333,0.001167,0.000834,0.003917,2.189848,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.001084,1.387539,0.877805,0.001125,0.00175,0.001167,0.000834,0.004375,2.286595,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.0015,1.433913,0.778143,0.001167,0.001583,0.001208,0.000833,0.004124,2.232763,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.001417,1.396206,0.777559,0.001083,0.001292,0.001125,0.000834,0.004209,2.193473,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.001167,1.429288,0.763976,0.000959,0.001375,0.001209,0.000959,0.004417,2.213806,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.003666,1.816152,0.815391,0.002083,0.002916,0.0015,0.001166,0.005375,2.662624,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.001875,1.547744,0.821557,0.001458,0.002542,0.001583,0.0015,0.0045,2.3943,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.001708,1.563618,0.782517,0.001416,0.0025,0.001541,0.001416,0.004917,2.371842,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.001625,1.601408,0.801808,0.001416,0.002334,0.0015,0.000917,0.005375,2.427466,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.001125,1.558576,0.781059,0.001458,0.002,0.0015,0.001125,0.005291,2.362968,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.001625,1.455913,0.7936,0.0015,0.001958,0.0015,0.001042,0.004583,2.272512,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.001375,1.439497,0.779267,0.001333,0.002041,0.001542,0.001124,0.004833,2.241346,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.00175,1.433497,0.782892,0.0015,0.001958,0.001542,0.000917,0.00475,2.239097,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.0015,1.610367,0.784975,0.00125,0.002333,0.001542,0.000917,0.004791,2.418008,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.001333,1.499619,0.744143,0.001041,0.002542,0.0015,0.001125,0.004541,2.266638,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.001458,1.43533,0.777601,0.001083,0.001875,0.001584,0.001083,0.004416,2.233971,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.001167,1.512327,0.750018,0.001458,0.0025,0.0015,0.001125,0.005,2.284595,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.006541,23.871626,22.258552,0.001999,0.005916,0.003249,0.001167,0.005458,46.170801,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.001667,23.101984,22.265093,0.002959,0.006709,0.003041,0.0015,0.00575,45.404284,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.001375,23.084526,22.490253,0.001958,0.006334,0.002958,0.001083,0.005458,45.608902,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.001375,23.170107,22.316634,0.001875,0.00575,0.002958,0.001167,0.00575,45.519072,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.001375,23.137024,22.146596,0.001958,0.005375,0.002958,0.001166,0.004958,45.316037,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.001833,23.047235,22.21947,0.002,0.00625,0.003,0.001334,0.005542,45.386326,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.001167,23.17919,22.215553,0.001458,0.005292,0.002958,0.001208,0.005708,45.426075,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.001708,23.325185,22.283218,0.001625,0.005874,0.003,0.001667,0.005333,45.642276,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.0015,23.219438,22.134306,0.001333,0.006625,0.003,0.001291,0.005833,45.386993,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.001125,23.349517,22.271926,0.002042,0.006083,0.002959,0.001084,0.005458,45.654193,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.001584,23.142565,22.221636,0.002125,0.006708,0.002958,0.001208,0.006083,45.398743,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.001583,23.016278,22.201428,0.001292,0.005708,0.002917,0.001208,0.005042,45.250163,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.005625,34.314048,32.650309,0.002416,0.008667,0.005,0.00125,0.010749,67.015356,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.001417,33.772982,32.321194,0.002958,0.009917,0.005625,0.00125,0.01175,66.141426,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.0015,33.84573,32.501897,0.0025,0.00875,0.005042,0.001208,0.010833,66.39275,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.001541,33.667027,32.378942,0.002666,0.009916,0.006,0.001208,0.011499,66.09301,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.001917,33.746442,32.590561,0.002625,0.009166,0.005166,0.001208,0.010124,66.381376,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.001708,33.946727,32.317028,0.002208,0.0115,0.005291,0.001542,0.011458,66.312545,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.001542,33.571572,32.52798,0.002375,0.008958,0.005874,0.001291,0.010666,66.144217,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.0015,33.525323,32.294528,0.002667,0.009625,0.005,0.001167,0.010458,65.864683,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.001583,33.223291,32.61381,0.002459,0.010166,0.005708,0.001208,0.010875,65.883516,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.001666,33.82423,32.392026,0.002375,0.009875,0.005083,0.00125,0.009583,66.261463,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.001375,33.949476,32.336444,0.00225,0.008791,0.005125,0.001209,0.010666,66.328627,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.001708,33.897437,32.405067,0.002417,0.009709,0.005083,0.001209,0.010875,66.348918,512,0,512,0,0
