; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586917742,"CurrentTimeLocal","Wed Apr 15 04:29:02 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.5e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.00012,1.284971,1.26581,8.5e-05,9.9e-05,6e-05,7.5e-05,0.000527,2.552098,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000118,1.256667,1.253649,4.8e-05,0.000228,5.9e-05,6.5e-05,0.000541,2.511737,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000106,1.289492,1.244661,4.9e-05,8.5e-05,7.1e-05,6.8e-05,0.000506,2.535377,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.00017,1.304361,1.296899,7.4e-05,0.000157,0.000113,0.000111,0.00068,2.602956,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000128,1.276876,1.284255,6.1e-05,0.000245,0.000105,8.1e-05,0.000634,2.562759,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000123,1.323988,1.283226,5.8e-05,0.000131,9.2e-05,8e-05,0.000603,2.608647,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000118,1.312026,1.314675,6.5e-05,0.000129,0.000105,7.5e-05,0.000609,2.628159,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.00013,1.281305,1.312879,4.6e-05,0.000127,9.8e-05,5.6e-05,0.000686,2.595692,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000125,1.312991,1.324408,0.000107,0.000324,0.000195,0.000125,0.000623,2.651847,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000113,1.343643,1.307818,5.8e-05,0.000116,0.000105,9.6e-05,0.000569,2.652877,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000114,1.307836,1.298404,5.4e-05,0.000247,0.000117,8.3e-05,0.000561,2.607767,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000126,1.275046,1.303,5.8e-05,0.000141,0.000111,8.5e-05,0.000605,2.579518,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000125,1.311369,1.287849,7.4e-05,8.3e-05,0.0001,8.5e-05,0.000615,2.600643,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000124,1.338083,1.289085,5e-05,0.000108,0.000114,8.7e-05,0.00057,2.628577,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.00012,1.280836,1.329539,6.8e-05,0.000119,0.000103,8.7e-05,0.000597,2.611811,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000243,32.858461,31.511331,7.4e-05,0.000253,0.000175,7.2e-05,0.001176,64.372168,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000137,32.171827,31.24895,7.5e-05,0.000428,0.000173,7.3e-05,0.000933,63.422993,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000131,32.311538,31.284048,7.2e-05,0.000203,0.000177,7.5e-05,0.000815,63.597433,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000124,32.559018,31.508407,6.5e-05,0.000339,0.000169,8.1e-05,0.000756,64.069318,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000187,32.34091,31.461118,5.8e-05,0.000261,0.000168,7.9e-05,0.000829,63.803972,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000124,34.500355,31.248545,7.4e-05,0.000214,0.000167,7.4e-05,0.000994,65.75091,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000132,32.21677,31.235315,6.3e-05,0.000353,0.000167,7.3e-05,0.000655,63.453883,256,0,256,0,0
