; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1602080311,"CurrentTimeLocal","Wed Oct  7 16:18:31 2020","Hostname","csk006.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,0,67,"Warmup",0.000431,0.043781,0.039309,0.013113,0.079246,0.056076,0.024797,0.004063,0.26121,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,1,67,"Warmup",0.000334,0.056137,0.053481,0.00402,0.049596,0.051636,0.008047,0.003806,0.227502,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,2,67,"Success",0.000312,0.055475,0.054194,0.004224,0.054506,0.063631,0.008213,0.00373,0.244685,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,3,67,"Success",0.000253,0.055014,0.05361,0.003581,0.052819,0.05115,0.007149,0.004388,0.22837,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,4,67,"Success",0.000261,0.065826,0.054204,0.004326,0.060024,0.050222,0.007255,0.00403,0.246527,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,5,67,"Success",0.000258,0.048801,0.047875,0.003657,0.051581,0.051011,0.007467,0.003508,0.214536,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,6,67,"Success",0.000239,0.048787,0.047772,0.003533,0.047927,0.04992,0.007755,0.003424,0.20972,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,7,67,"Success",0.000223,0.048431,0.047582,0.003617,0.049027,0.056055,0.005475,0.004048,0.214843,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,8,67,"Success",0.000245,0.049207,0.047138,0.004795,0.050609,0.0492,0.007644,0.003215,0.212408,54872,0,54872,8.4950688034e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,9,67,"Success",0.000252,0.049004,0.066866,0.004643,0.054395,0.051795,0.006934,0.004139,0.238419,54872,0,54872,8.4950688034e-08,0
