; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529504822,"CurrentTimeLocal","Wed Jun 20 16:27:02 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00012
; "Time_ContextDestroy [ms]", 7.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000559,0.003364,0.000872,0.00024,0.000569,0.00035,0.000107,0.00122,0.007678,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000433,0.002027,0.000762,0.000106,0.000451,0.000318,9.2e-05,0.001069,0.00559,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000395,0.001932,0.000723,0.000103,0.000395,0.000325,9.6e-05,0.001026,0.005319,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000336,0.001831,0.000702,0.000104,0.000395,0.000327,9e-05,0.00102,0.005145,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000343,0.001858,0.000731,0.00011,0.000379,0.000305,9.5e-05,0.001017,0.005175,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000336,0.001845,0.000706,0.000109,0.000384,0.000299,9e-05,0.001021,0.00513,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000339,0.001845,0.000718,0.000101,0.000394,0.000294,9.8e-05,0.001034,0.005151,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000341,0.001862,0.00071,0.000109,0.0004,0.000293,9.4e-05,0.001023,0.005169,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000344,0.00186,0.000712,0.000105,0.000387,0.000299,9e-05,0.001037,0.005167,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000325,0.001833,0.00073,0.000102,0.000381,0.000295,0.0001,0.00103,0.005118,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000343,0.001865,0.000721,0.000107,0.000376,0.0003,9.4e-05,0.001003,0.005132,512,0,512,0,0
