; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363354112,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147422,"CurrentTimeLocal","Mon Apr  6 06:30:22 2020","Hostname","csk012.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,11,2,"Success",0.000122,10.439331,9.91003,9.1e-05,0.033946,0.017772,0.000171,0.003659,20.405813,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,0,3,"Warmup",0.000154,13.066789,12.953668,0.000141,0.018018,0.036017,0.000195,0.00551,26.081038,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,1,3,"Warmup",0.000124,13.103862,12.891011,0.000104,0.035399,0.035502,0.000182,0.028372,26.095065,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,2,3,"Success",0.000136,13.04132,12.807952,0.000111,0.034668,0.035819,0.000184,0.008281,25.929054,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,3,3,"Success",0.000127,12.866998,12.802219,0.00013,0.035659,0.035161,0.000178,0.006474,25.747414,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,4,3,"Success",0.000136,12.978973,13.018654,0.000117,0.036371,0.033716,0.000135,0.006109,26.075038,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,5,3,"Success",0.000149,13.130472,12.960848,0.000124,0.036901,0.034822,0.000104,0.007657,26.17196,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,6,3,"Success",0.000147,13.049424,12.873149,0.000121,0.03795,0.034666,0.000114,0.00672,26.003004,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,7,3,"Success",0.000109,12.794717,12.786218,0.000117,0.037069,0.04708,0.000259,0.007366,25.673393,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,8,3,"Success",0.000156,13.155684,12.797386,0.000137,0.037092,0.034724,7.4e-05,0.006782,26.032462,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,9,3,"Success",0.000116,13.028222,12.926965,0.00013,0.03384,0.036886,0.000193,0.006699,26.03357,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,10,3,"Success",0.000118,13.103476,13.035896,0.000116,0.054694,0.033838,0.000189,0.007599,26.237048,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,11,3,"Success",0.000137,13.127601,12.994163,0.000107,0.03542,0.036138,0.000185,0.007877,26.202167,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,0,4,"Warmup",0.000157,10.628873,10.649053,0.000102,0.038691,0.039927,0.000325,0.011684,21.369437,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,1,4,"Warmup",0.00014,10.929691,10.641024,0.00011,0.036866,0.038376,0.000277,0.011637,21.658697,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,2,4,"Success",0.000141,10.708197,10.480569,0.000105,0.039524,0.038971,0.000226,0.010193,21.278571,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,3,4,"Success",0.000117,10.731773,10.496562,0.000132,0.037466,0.038692,0.000134,0.010637,21.316024,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,4,4,"Success",0.000113,10.64786,10.651939,8.6e-05,0.035946,0.041269,0.000216,0.010379,21.388445,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,5,4,"Success",0.000185,10.577962,10.538114,0.000127,0.039904,0.037895,0.000365,0.010233,21.205373,512,0,512,0,0
