; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533795733,"CurrentTimeLocal","Thu Aug  9 09:22:13 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000189
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,2,7,"Success",0.012184,64.000255,62.162471,0.210307,4.028996,3.621591,0.207231,0.010402,134.254595,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,3,7,"Success",0.011013,64.784354,63.301142,0.211043,3.655858,3.619446,0.249021,0.009886,135.842605,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,4,7,"Success",0.013509,64.426007,64.137176,0.212745,3.609652,3.780403,0.21694,0.010225,136.407427,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,5,7,"Success",0.011231,65.015487,63.101294,0.213617,3.747345,3.612058,0.211579,0.0116,135.925002,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,6,7,"Success",0.011594,66.896206,63.668808,0.206348,3.885567,3.842024,0.229451,0.0147,138.755556,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,7,7,"Success",0.011585,65.574125,63.017805,0.211515,3.787439,3.654605,0.205085,0.01204,136.474957,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,8,7,"Success",0.015145,65.490452,63.59297,0.217145,3.80474,3.615264,0.149585,0.008925,136.895519,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,9,7,"Success",0.011795,65.634085,63.327514,0.211476,3.659236,3.667856,0.194019,0.010265,136.716968,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,10,7,"Success",0.013057,65.135109,63.577286,0.209236,3.699332,3.701117,0.22105,0.010443,136.568501,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,11,7,"Success",0.011534,65.620797,63.239128,0.215506,3.718515,3.705428,0.213335,0.01007,136.735381,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",63,67,65,0,1,"Warmup",0.022675,126.209339,127.810453,0.345249,9.480185,9.408459,0.357729,0.017246,273.652271,2194920,0,2194920,8.8499223371e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",63,67,65,1,1,"Warmup",0.012599,127.780344,125.461065,0.419987,9.399059,10.083507,0.350888,0.01471,273.523436,2194920,0,2194920,8.7100125719e-08,0
