; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533888122,"CurrentTimeLocal","Fri Aug 10 11:02:02 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000407
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000639,32.328703,28.651778,0.000299,0.000692,0.000275,8.8e-05,0.001377,60.984307,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000548,32.365288,28.662115,0.000305,0.000622,0.000275,0.000109,0.001361,61.031152,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000523,32.564788,29.242436,0.000577,0.000519,0.000316,9.3e-05,0.001281,61.811432,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.00062,32.811803,28.558105,0.000308,0.000584,0.000435,8.5e-05,0.00166,61.374224,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000173,32.790685,29.21367,0.000348,0.00065,0.000262,8.4e-05,0.001266,62.007641,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.000527,32.843548,28.396041,0.000336,0.00075,0.000342,9.5e-05,0.001258,61.243437,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000464,32.873909,29.300118,0.000264,0.00108,0.014197,0.000118,0.001951,62.192775,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.000827,32.740196,28.782785,0.000269,0.000746,0.000317,7.4e-05,0.001343,61.527121,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000587,32.843075,28.815728,0.000283,0.000961,0.000352,8.5e-05,0.001323,61.66302,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.003678,32.653918,28.996352,0.000316,0.000785,0.000356,8.8e-05,0.001203,61.657739,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.00056,32.951523,28.312116,0.000267,0.000479,0.000309,8.7e-05,0.001273,61.267358,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.004993,61.174457,53.383792,0.000301,0.002828,0.000585,6.7e-05,0.002158,114.56968,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.003501,61.450055,54.215025,0.000301,0.002514,0.00059,7.8e-05,0.001855,115.674675,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.003571,61.137967,53.809199,0.000351,0.001295,0.000761,0.000114,0.001831,114.955719,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.003561,61.03151,53.790825,0.000223,0.001539,0.001018,0.000103,0.001985,114.831776,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.003559,60.961801,55.053353,0.000332,0.001614,0.000431,8.2e-05,0.001697,116.023595,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.003566,60.897421,53.747536,0.000239,0.00258,0.000545,7.2e-05,0.001723,114.654482,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.003464,60.539711,53.589572,0.000341,0.002078,0.000423,7.3e-05,0.001633,114.137789,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",0.003468,60.766993,53.930176,0.000257,0.001302,0.000539,6.5e-05,0.001718,114.705056,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,8,5,"Success",0.003482,60.923695,54.04016,0.000261,0.001601,0.000565,0.000114,0.001924,114.972339,1024,0,1024,0,0
