; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161862,"CurrentTimeLocal","Tue Sep 15 11:24:22 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000203,0.005787,0.00509,0.000235,0.002469,0.002248,0.000194,0.000912,0.017464,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000191,0.005754,0.00509,0.000234,0.002435,0.002277,0.000198,0.000939,0.017444,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000191,0.005742,0.004975,0.000222,0.002507,0.002293,0.000192,0.000947,0.017418,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.00022,0.005781,0.005057,0.000215,0.002431,0.002248,0.000191,0.000903,0.017367,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000189,0.005779,0.004884,0.000231,0.002377,0.002252,0.000187,0.00093,0.01716,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000206,0.005677,0.004943,0.000223,0.002492,0.002241,0.000187,0.000875,0.017175,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000196,0.005775,0.004945,0.000217,0.002459,0.002276,0.000195,0.000861,0.017255,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000207,0.005791,0.005142,0.000231,0.002464,0.00225,0.000199,0.000939,0.017551,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000252,0.039024,0.022175,0.000297,33.549986,0.015777,0.000513,0.001071,33.629452,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000681,0.023966,0.021324,0.000297,0.037464,0.014474,0.000559,0.000926,0.100031,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.00066,0.022346,0.021196,0.000258,0.04483,0.014307,0.00056,0.001028,0.105504,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000567,0.022034,0.020977,0.000256,0.043805,0.014668,0.00056,0.000968,0.104164,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000582,0.021721,0.020699,0.000246,0.046044,0.014161,0.000561,0.000971,0.105315,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000561,0.021708,0.021013,0.000244,0.045083,0.014987,0.000559,0.000977,0.105465,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000626,0.021536,0.020904,0.000252,0.04627,0.01443,0.000556,0.000963,0.105877,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000606,0.021509,0.020753,0.00025,0.045323,0.014777,0.000574,0.000951,0.105069,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000606,0.021624,0.020806,0.000242,0.04546,0.015105,0.000556,0.000929,0.10566,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000605,0.021652,0.020658,0.000246,0.046576,0.01484,0.00056,0.000969,0.106437,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000629,0.021511,0.020693,0.000266,0.047098,0.014294,0.000567,0.000967,0.106344,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000625,0.021423,0.020794,0.000252,0.045235,0.014035,0.00058,0.00099,0.10426,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000588,0.021402,0.020607,0.000251,0.04615,0.015141,0.000558,0.000971,0.105998,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000574,0.021253,0.020892,0.000248,0.0457,0.014278,0.000564,0.000971,0.104807,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000635,0.021306,0.020685,0.000257,0.045633,0.014062,0.000562,0.000935,0.104406,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000535,0.02164,0.02054,0.000246,0.045727,0.014263,0.000584,0.001019,0.104873,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000561,0.021823,0.0208,0.000262,0.03863,0.014374,0.00058,0.000941,0.098305,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.00059,0.021437,0.020656,0.000271,0.045891,0.014934,0.00057,0.000961,0.105637,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000613,0.0217,0.020872,0.000248,0.044754,0.014253,0.000582,0.000987,0.104344,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.00058,0.021425,0.020744,0.000252,0.045547,0.01417,0.000566,0.000988,0.104596,8000,0,8000,1.259036215e-16,0
