; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529481387,"CurrentTimeLocal","Wed Jun 20 09:56:27 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 5.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.00041,0.002415,0.000772,0.00011,0.000164,9.9e-05,3e-05,0.001049,0.005341,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000413,0.00236,0.000758,0.000108,0.000162,0.0001,2.5e-05,0.001091,0.005319,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.00042,0.002378,0.000759,0.000105,0.000164,0.0001,2.6e-05,0.001065,0.005319,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000419,0.002393,0.000756,0.000113,0.000163,0.0001,3e-05,0.001095,0.005363,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.00042,0.002377,0.000758,0.000107,0.000165,0.0001,2.5e-05,0.001064,0.00533,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000416,0.002393,0.000777,0.000106,0.000164,9.9e-05,2.6e-05,0.001071,0.005357,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000409,0.002396,0.000758,0.000109,0.000161,0.000101,2.7e-05,0.00108,0.005339,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000414,0.002384,0.000761,0.00011,0.000165,0.0001,2.5e-05,0.001057,0.005308,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000523,0.00325,0.000951,0.000162,0.249855,0.00033,0.000218,0.003429,0.259262,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000655,0.003464,0.001073,9.9e-05,0.000178,0.000164,9.3e-05,0.001368,0.007544,128,0,128,0,0
