; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492400,"CurrentTimeLocal","Wed Jun 20 13:00:00 2018","Hostname","r02n10","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000105
; "Time_ContextDestroy [ms]", 5.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000352,0.002064,0.000868,0.00011,0.000351,0.00048,9.3e-05,0.001221,0.005918,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000334,0.001934,0.00077,9.8e-05,0.000299,0.000417,8.4e-05,0.001078,0.005343,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000323,0.001884,0.000766,8.9e-05,0.000302,0.000409,9.1e-05,0.001093,0.005291,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000326,0.001891,0.00076,9.5e-05,0.000299,0.000404,8.3e-05,0.001079,0.005279,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000325,0.001866,0.00077,9.9e-05,0.000308,0.000417,9.1e-05,0.001081,0.005288,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000322,0.001879,0.000776,0.0001,0.000301,0.000417,8.4e-05,0.00108,0.005291,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000327,0.001872,0.000776,9.6e-05,0.000318,0.000417,8.4e-05,0.001079,0.00531,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000328,0.001879,0.000794,9e-05,0.000315,0.000417,8.4e-05,0.001082,0.005328,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000333,0.001921,0.000763,9e-05,0.000315,0.00042,8.3e-05,0.00108,0.005337,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.000471,0.005356,0.002176,0.000229,0.012452,0.006754,0.000314,0.005278,0.033459,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.000503,0.004969,0.002266,0.000255,0.007731,0.006483,0.00016,0.005379,0.028101,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000404,0.004209,0.002125,0.000127,0.008199,0.006963,0.000212,0.005564,0.028167,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000343,0.004371,0.002348,0.000144,0.008181,0.007024,0.000286,0.005531,0.028534,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000353,0.004436,0.002117,0.000156,0.008382,0.007204,0.000379,0.004903,0.028225,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000344,0.004727,0.002349,0.000151,0.008504,0.006334,0.00029,0.00579,0.028783,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000347,0.004379,0.002116,0.000135,0.009201,0.006838,0.000246,0.005434,0.02902,1024,0,1024,5.2890569533e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000329,0.004651,0.002117,0.000121,0.008617,0.006256,0.000279,0.005127,0.027808,1024,0,1024,5.2890569533e-09,0
