; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504843,"CurrentTimeLocal","Wed Aug 23 18:14:03 2017","Hostname","taurusi4036","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 0.000168
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,9,4,"Success",0.000864,0.026819,0.018264,0.000345,0.000699,0.000487,0.000199,0.001087,0.050157,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,10,4,"Success",0.00081,0.026951,0.018563,0.000314,0.000695,0.000489,0.000223,0.001102,0.05055,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,11,4,"Success",0.000898,0.02669,0.018327,0.000323,0.000744,0.000513,0.000204,0.001089,0.050189,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,0,5,"fftw forward plan could not be created as wisdom is not available for this problem.",0.00104,0,0,0,0,0,0,0,0,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,1,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,2,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,3,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,4,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,5,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,6,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
