; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",15964327936,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534882441,"CurrentTimeLocal","Tue Aug 21 23:14:01 2018","Hostname","teegema","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000186
; "Time_ContextDestroy [ms]", 7.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.003165,15.186885,13.79953,0.000382,0.001307,0.000702,0.000196,0.001889,28.995144,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.003172,15.363995,14.22423,0.000437,0.001309,0.000697,0.000262,0.002058,29.597224,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.002955,15.178273,13.51633,0.000601,0.00137,0.000675,0.000254,0.00218,28.703606,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.00308,15.680605,12.732231,0.000321,0.001168,0.000414,0.000176,0.001686,28.420465,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.002904,13.462336,12.025807,0.00017,0.000574,0.000354,0.00015,0.001186,25.493952,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.002813,13.510299,12.125848,0.000369,0.000855,0.000418,0.00011,0.001313,25.642655,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.002807,13.551001,12.006837,0.000278,0.000751,0.000379,9.5e-05,0.00163,25.564384,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.002766,13.492687,12.191221,0.000402,0.001039,0.000392,9.7e-05,0.001591,25.690823,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.004014,25.430521,22.781451,0.000424,0.001948,0.00059,0.000286,0.001959,48.222051,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.002686,25.081139,22.651648,0.000258,0.000953,0.000634,0.00011,0.001417,47.73937,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.002515,25.162919,22.724621,0.000344,0.001112,0.00057,0.000104,0.001603,47.894398,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.002495,25.246732,23.402187,0.000348,0.002191,0.000611,0.000148,0.002043,48.657524,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.002656,25.225665,22.68109,0.000327,0.000943,0.000571,0.000116,0.001732,47.913703,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.00271,24.982736,22.675315,0.000295,0.000968,0.00058,0.000109,0.001515,47.664794,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.00272,25.088991,22.794487,0.000398,0.001626,0.000574,0.000211,0.001762,47.891405,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",0.002645,24.998217,22.739263,0.000241,0.000892,0.000553,0.000133,0.001503,47.744111,1024,0,1024,0,0
