; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161863,"CurrentTimeLocal","Tue Sep 15 11:24:23 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000356,105.430291,103.593627,0.000432,0.006387,0.005869,0.000609,0.007608,209.045551,6400,0,6400,1.9971346004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000271,105.403986,103.549926,0.000358,0.006873,0.00628,0.000618,0.007519,208.976205,6400,0,6400,1.4458683937e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000234,105.791185,103.462057,0.000434,0.006418,0.005853,0.000589,0.007017,209.274153,6400,0,6400,1.6502138685e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000239,105.478078,103.842527,0.000375,0.006531,0.006932,0.000567,0.007318,209.342934,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000166,105.592856,103.391079,0.000295,0.006133,0.006101,0.000574,0.006718,209.004278,6400,0,6400,3.8957734519e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000299,105.754162,104.674944,0.000523,0.005312,0.006357,0.000422,0.007363,210.449755,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000301,64.539871,63.46798,0.000306,0.007605,0.007793,0.000639,0.005318,128.030204,8000,0,8000,5.8381324556e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000248,64.628055,63.562949,0.000328,0.00765,0.007972,0.000674,0.006677,128.214944,8000,0,8000,4.9892348562e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000291,64.602107,63.609943,0.000351,0.008123,0.008176,0.000285,0.005639,128.23529,8000,0,8000,5.8285287389e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000213,66.321465,63.373523,0.000431,0.007199,0.007748,0.000592,0.005214,129.716744,8000,0,8000,5.4375219645e-17,0
