; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.00026,63.586747,64.484443,0.000305,0.007046,0.007724,0.000652,0.005506,128.11814,8000,0,8000,4.9214128304e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000272,63.447786,62.178581,0.000397,0.007541,0.00756,0.000558,0.005121,125.672717,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.00027,63.492786,62.613253,0.00034,0.007615,0.008721,0.000299,0.005708,126.153851,8000,0,8000,5.8690096064e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000273,64.980251,62.288906,0.000445,0.007185,0.007549,0.000602,0.005412,127.315797,8000,0,8000,5.6303357492e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000311,63.448647,62.344726,0.000345,0.007919,0.007003,0.000702,0.005183,125.839797,8000,0,8000,5.3599707364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000267,63.694843,62.390247,0.000369,0.007823,0.006941,0.000717,0.005625,126.131911,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.00027,63.206046,62.44454,0.000334,0.007662,0.007467,0.000695,0.005215,125.697875,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000268,63.517059,62.506201,0.000414,0.007816,0.007308,0.000682,0.005608,126.070519,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000262,63.561779,62.576161,0.000323,0.007163,0.007667,0.000596,0.005223,126.184074,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000272,63.362378,62.580346,0.000316,0.008119,0.008007,0.000629,0.005299,125.99053,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000262,63.267282,62.483668,0.000379,0.00762,0.007703,0.00065,0.005658,125.798047,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.00025,63.650092,62.46527,0.000399,0.007311,0.007505,0.000556,0.005262,126.161685,8000,0,8000,4.9214128304e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000315,63.49825,62.510528,0.000384,0.00791,0.006945,0.000643,0.005419,126.054742,8000,0,8000,5.9329727772e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000256,65.2128,62.427881,0.00033,0.007658,0.007669,0.000664,0.005668,127.687959,8000,0,8000,4.9892348562e-17,0
